stopPointRef,no_of_buses
NSR:Quay:32886,653
NSR:Quay:55668,1617
NSR:Quay:95143,384
NSR:Quay:81134,155
NSR:Quay:32261,526
NSR:Quay:57153,1820
NSR:Quay:16000,321
NSR:Quay:69598,364
NSR:Quay:20502,983
NSR:Quay:50947,1696
NSR:Quay:101627,569
NSR:Quay:67857,1275
NSR:Quay:91934,1024
NSR:Quay:2999,1036
12896,297
NSR:Quay:46361,1776
NSR:Quay:74114,561
NSR:Quay:77388,190
NSR:Quay:55607,1280
NSR:Quay:18514,666
NSR:Quay:90138,427
NSR:Quay:28001,1426
NSR:Quay:93123,1294
NSR:Quay:22714,730
NSR:Quay:90530,384
NSR:Quay:25948,382
NSR:Quay:68602,1381
NSR:Quay:89380,691
NSR:Quay:107458,209
NSR:Quay:80743,365
NSR:Quay:1443,379
NSR:Quay:4770,203
NSR:Quay:21253,426
NSR:Quay:21218,726
NSR:Quay:84302,1015
NSR:Quay:39622,573
NSR:Quay:75677,376
NSR:Quay:85765,1167
NSR:Quay:104492,602
NSR:Quay:95247,699
NSR:Quay:90881,383
NSR:Quay:95912,1069
NSR:Quay:92086,683
NSR:Quay:25760,534
NSR:Quay:46123,420
NSR:Quay:50430,2269
NSR:Quay:3749,408
NSR:Quay:49298,634
NSR:Quay:2388,1754
NSR:Quay:13867,715
NSR:Quay:89598,584
NSR:Quay:31249,314
NSR:Quay:17039,271
NSR:Quay:105226,1546
NSR:Quay:80854,1172
NSR:Quay:87581,512
NSR:Quay:94595,1131
NSR:Quay:4094,688
NSR:Quay:39530,1111
NSR:Quay:72722,1073
NSR:Quay:70270,142
NSR:Quay:58640,803
NSR:Quay:17153,418
NSR:Quay:91448,568
NSR:Quay:20636,704
NSR:Quay:82597,610
NSR:Quay:101816,649
NSR:Quay:92557,573
NSR:Quay:71594,1330
NSR:Quay:94489,646
